statecd,districtID,ClintonDelegates,SandersDelegates,DifferenceDelegates,ClintonVotes,SandersVotes,ClintonPreportion,SandersPreportion,DifferenceVotes,DifferencePreportionVotes
IA2,160,4,4,0,"17,635","19,328",47.7%,52.3%,-1693,-0.04580255932
IA3,161,4,3,1,"18,829","16,296",53.6%,46.4%,2533,0.072113879
IA4,162,3,3,0,"14,240","14,232",50%,50%,8,0.0002809778028
KS1,163,1,3,-2,"1,833","4,074",31%,69%,-2241,-0.3793803961
KS2,164,2,5,-3,"3,225","8,117",28.4%,71.6%,-4892,-0.431317228
KS3,165,2,4,-2,"4,689","7,671",37.9%,62.1%,-2982,-0.2412621359
KS4,166,1,4,-3,"2,846","6,775",29.6%,70.4%,-3929,-0.4083775075
KY1,167,2,3,-1,"29,189","34,871",45.6%,54.4%,-5682,-0.08869809554
KY2,168,3,3,0,"31,368","33,803",48.1%,51.9%,-2435,-0.03736324439
KY3,169,5,4,1,"60,943","43,288",58.5%,41.5%,17655,0.1693833888
KY4,170,3,3,0,"26,053","25,923",50.1%,49.9%,130,0.002501154379
KY5,171,2,2,0,"19,071","28,383",40.2%,59.8%,-9312,-0.1962321406
KY6,172,4,3,1,"43,670","43,155",50.3%,49.7%,515,0.00593147135
LA1,173,2,2,0,"20,695","13,000",61.4%,38.6%,7695,0.228372162
LA2,174,6,2,4,"76,696","18,171",80.8%,19.2%,58525,0.6169163144
LA3,175,3,2,1,"22,372","10,501",68.1%,31.9%,11871,0.3611170261
LA4,176,4,1,3,"34,636","9,598",78.3%,21.7%,25038,0.5660351766
LA5,177,5,1,4,"33,671","8,700",79.5%,20.5%,24971,0.5893417668
LA6,178,4,1,3,"33,546","12,271",73.2%,26.8%,21275,0.4643472947
ME1,179,4,6,-2,691,"1,230",36%,64%,-539,-0.2805830297
ME2,180,2,5,-3,522,977,34.8%,65.2%,-455,-0.3035356905
MD1,181,3,3,0,"36,609","29,676",55.2%,44.8%,6933,0.1045937995
MD2,182,4,3,1,"63,192","39,319",61.6%,38.4%,23873,0.2328823248
MD3,183,5,3,2,"73,321","48,126",60.4%,39.6%,25195,0.2074567507
MD4,184,7,3,4,"85,418","31,345",73.2%,26.8%,54073,0.4631004685
MD5,185,6,3,3,"77,572","35,321",68.7%,31.3%,42251,0.3742570399
MD6,186,4,3,1,"52,623","34,176",60.6%,39.4%,18447,0.2125254899
MD7,187,6,3,3,"97,727","46,891",67.6%,32.4%,50836,0.3515191747
MD8,188,5,3,2,"86,596","45,051",65.8%,34.2%,41545,0.3155787827
MA1,189,3,3,0,"54,015","59,021",47.8%,52.2%,-5006,-0.04428677589
MA2,190,3,3,0,"51,466","71,174",42%,58%,-19708,-0.1606979778
MA3,191,3,3,0,"60,529","61,446",49.6%,50.4%,-917,-0.007517934003
MA4,192,3,3,0,"70,492","58,423",54.7%,45.3%,12069,0.09361982702
MA5,193,4,3,1,"79,810","66,780",54.4%,45.6%,13030,0.08888737294
MA6,194,3,4,-1,"66,095","71,178",48.1%,51.9%,-5083,-0.03702840325
MA7,195,4,3,1,"72,257","54,898",56.8%,43.2%,17359,0.1365184224
MA8,196,4,3,1,"72,929","66,769",52.2%,47.8%,6160,0.04409511947
MA9,197,3,4,-1,"60,581","63,494",48.8%,51.2%,-2913,-0.02347773524
