statecd,districtID,Clinton2016,Trump2016,Obama2012,Romney2012,Margin2016,Margin2012,MarginChange,HouseDem,HouseRep,HouseMargin,HousePresMargin
IL5,136,70.5,23.9,66,31.8,46.6,34.2,12.4,67.84370976,27.48339305,40.36031671,6.239683288
IL6,137,50.2,43.2,45.1,53.3,7,-8.2,15.2,40.77598496,59.22401504,-18.44803008,25.44803008
IL7,138,87.4,9.2,87.2,11.8,78.2,75.4,2.8,84.23954334,15.76045666,68.47908669,9.720913314
IL8,139,58.1,36.4,57.4,40.9,21.7,16.5,5.2,58.31492813,41.68507187,16.62985626,5.070143742
IL9,140,70.1,24.9,65,33.3,45.2,31.7,13.5,66.46500361,33.50685736,32.95814625,12.24185375
IL10,141,62,32.6,57.5,41.1,29.4,16.4,13,52.60038602,47.39052294,5.209863075,24.19013692
IL11,142,58.9,35.4,57.8,40.6,23.5,17.2,6.3,60.44786681,39.55213319,20.89573362,2.604266383
IL12,143,40.2,55,49.7,48.2,-14.8,1.5,-16.3,39.69495403,54.30508431,-14.61013029,-0.1898697133
IL13,144,44.2,49.7,48.6,48.9,-5.5,-0.3,-5.2,40.33505728,59.66494272,-19.32988543,13.82988543
IL14,145,44.8,48.7,44.2,54.2,-3.9,-10,6.1,40.69512595,59.30487405,-18.60974809,14.70974809
IL15,146,24.5,70.7,34.1,63.9,-46.2,-29.8,-16.4,0,100,-100,53.8
IL16,147,38.3,55.5,45.2,52.9,-17.2,-7.7,-9.5,0,99.94958688,-99.94958688,82.74958688
IL17,148,46.7,47.4,57.6,40.6,-0.7,17,-17.7,60.30801065,39.69198935,20.61602129,-21.31602129
IL18,149,33.3,60.6,37.4,60.7,-27.3,-23.3,-4,27.86488253,72.13310182,-44.26821929,16.96821929
IN1,150,54.1,41.5,61.2,37.4,12.6,23.8,-11.2,81.51172702,0,81.51172702,-68.91172702
IN2,151,36.1,59.3,42.1,56.1,-23.2,-14,-9.2,36.92028685,59.25756336,-22.33727651,-0.8627234935
