State-CD,Party,Party,White,Latino,Black,Asian,Native American,Multiracial
MN1, D,0,0.8843,0.0552,0.023,0.0222,0.0024,0.0118
MN2, R,1,0.8422,0.0536,0.0359,0.0419,0.0046,0.02
MN3, R,1,0.8094,0.0381,0.0648,0.062,0.003,0.021
MN4, D,0,0.7096,0.0629,0.0922,0.1026,0.0057,0.0254
MN5, D,0,0.6499,0.0935,0.1533,0.0563,0.012,0.032
MN6, R,1,0.9133,0.0231,0.0208,0.023,0.0038,0.0152
MN7, D,0,0.9069,0.0381,0.0073,0.0076,0.0259,0.0133
MN8, D,0,0.9288,0.0129,0.0087,0.0057,0.0262,0.017
MS1, R,1,0.6886,0.0305,0.2623,0.0063,0.0019,0.0094
MS2, D,0,0.3227,0.0184,0.6438,0.0049,0.0033,0.0063
MS3, R,1,0.6063,0.0231,0.3431,0.0088,0.01,0.0077
MS4, R,1,0.704,0.0377,0.2249,0.0143,0.0035,0.0142
MO1, D,0,0.4268,0.0304,0.4926,0.0257,0.002,0.0206
MO2, R,1,0.8873,0.0237,0.0333,0.039,0.0015,0.014
MO3, R,1,0.9206,0.0212,0.0318,0.0085,0.0029,0.0138
MO4, R,1,0.8826,0.0324,0.0451,0.0135,0.0048,0.0198
MO5, D,0,0.6518,0.0834,0.2174,0.0157,0.0041,0.0238
MO6, R,1,0.8974,0.0334,0.0375,0.0108,0.0034,0.0156
MO7, R,1,0.8977,0.0432,0.0157,0.0108,0.0093,0.0208
MO8, R,1,0.9154,0.0161,0.0446,0.0057,0.0041,0.0135
MT1, R,1,0.8779,0.0289,0.0038,0.0062,0.0605,0.0215
NE1, R,1,0.8499,0.0746,0.0245,0.0204,0.0114,0.0174
NE2, R,1,0.7453,0.1017,0.1006,0.0252,0.0045,0.0203
NE3, R,1,0.8683,0.0986,0.0078,0.0068,0.0084,0.0089
NV1, D,0,0.3637,0.4277,0.0946,0.0761,0.0046,0.0253
NV2, R,1,0.6938,0.2043,0.0173,0.0372,0.0187,0.0232
NV3, R,1,0.6114,0.1566,0.0608,0.1207,0.0041,0.0373
NV4, D,0,0.4967,0.2726,0.1355,0.0489,0.0075,0.0315
NH1, D,0,0.9231,0.0278,0.0116,0.02,0.0018,0.0142
NH2, D,0,0.9228,0.028,0.0091,0.0229,0.0023,0.0132
NJ1, D,0,0.6569,0.1157,0.1627,0.0449,0.0015,0.0167
NJ2, R,1,0.6766,0.1439,0.1229,0.0355,0.0029,0.0168
NJ3, R,1,0.7781,0.0655,0.1022,0.0329,0.0012,0.0174
NJ4, R,1,0.7899,0.0951,0.0633,0.0373,0.0009,0.0119
NJ5, R,1,0.7403,0.1102,0.0423,0.0905,0.0013,0.0134
NJ6, D,0,0.5199,0.1964,0.0937,0.1678,0.0014,0.0167
NJ7, R,1,0.7568,0.1063,0.0392,0.0813,0.0006,0.0137
NJ8, D,0,0.2782,0.5297,0.0887,0.079,0.0013,0.0139
NJ9, D,0,0.4247,0.3393,0.0985,0.1193,0.0011,0.0134
NJ10, D,0,0.2142,0.1767,0.5169,0.0641,0.0023,0.0187
NJ11, R,1,0.775,0.0874,0.0341,0.0868,0.0007,0.014
NJ12, D,0,0.5071,0.1564,0.1714,0.1432,0.0014,0.0174
NM1, D,0,0.4199,0.4803,0.0233,0.0209,0.0361,0.0167
NM2, R,1,0.4015,0.5182,0.0156,0.0071,0.0446,0.011
NM3, D,0,0.3933,0.3905,0.0127,0.0104,0.1748,0.0158
NY1, D,0,0.7792,0.1254,0.0448,0.0332,0.0024,0.013
NY2, R,1,0.6606,0.2047,0.0893,0.0291,0.0015,0.0125
NY3, D,0,0.7249,0.0973,0.0289,0.1301,0.0009,0.015
